nome_empresa;prazo;rating;TIR;valor;pagina;codigo_emprestimo;porcentagem;codigo_emprestimo_num
Nutrindus;24 meses;C3;28,32% a.a.;R$100.000;19;loan_117929;100.0%;117929
GS TRANSPORTES;24 meses;D1;35,28% a.a.;R$100.000;19;loan_117811;100.0%;117811
DECO;24 meses;C2;26,82% a.a.;R$54.000;19;loan_117795;100.0%;117795
MERCADO BAHIA;24 meses;E2;61,59% a.a.;R$56.000;20;loan_117544;100.0%;117544
Romaço Rolamentos;24 meses;A2;15,80% a.a.;R$536.000;20;loan_117398;100.0%;117398
BORBA NET;24 meses;B4;19,70% a.a.;R$38.000;20;loan_116590;100.0%;116590
GMT ADMINISTRADORA E CORRETORA DE SEGUROS DE VIDA LTDA;24 meses;D1;35,28% a.a.;R$88.000;20;loan_115429;100.0%;115429
AUTO FÁCIL ;12 meses;B6;21,70% a.a.;R$212.000;20;loan_112451;100.0%;112451
CINEMAURO;24 meses;B6;21,70% a.a.;R$72.000;20;loan_112443;100.0%;112443
Factual ;24 meses;C2;26,82% a.a.;R$82.000;20;loan_105851;100.0%;105851
UNITEC DISTRIBUIDORA;24 meses;C2;26,82% a.a.;R$164.000;20;loan_118271;100.0%;118271
MUNDIAL COR;18 meses;D3;41,91% a.a.;R$34.000;20;loan_117921;100.0%;117921
CLINICA BALUU - FISIOTERAPIA, PILATES E ACUPUNTURA;24 meses;D1;35,28% a.a.;R$28.000;20;loan_117823;100.0%;117823
DUIM & DUIM TRANSPORTES;24 meses;D2;37,99% a.a.;R$28.000;21;loan_117140;100.0%;117140
AR ROSAS CERTIFICACAO DIGITAL;24 meses;E3;63,65% a.a.;R$22.000;21;loan_116897;100.0%;116897
ALOHA BAR E RESTAURANTE;24 meses;D1;35,28% a.a.;R$38.000;21;loan_116390;100.0%;116390
MAM AROMAS;24 meses;B5;20,70% a.a.;R$110.000;21;loan_116067;100.0%;116067
MANTELLI MOVEIS;24 meses;C1;25,64% a.a.;R$56.000;21;loan_115507;100.0%;115507
ATG CONSULTING;24 meses;B5;20,70% a.a.;R$218.000;21;loan_114415;100.0%;114415
A.S. TELECOM;24 meses;D1;35,28% a.a.;R$34.000;21;loan_117278;100.0%;117278
BARRA NATACAO;24 meses;D3;41,91% a.a.;R$34.000;21;loan_117174;100.0%;117174
Original Internacional;24 meses;B4;19,70% a.a.;R$164.000;21;loan_116776;100.0%;116776
COLEGIO INTEGRA MAIS;24 meses;B5;20,70% a.a.;R$132.000;21;loan_116414;100.0%;116414
Just Trade Marketing;24 meses;B4;19,70% a.a.;R$110.000;22;loan_116369;100.0%;116369
